input_text,gpt_generated,system_generated,actual_standardized
ajith anna fans oda vijay Anna fans dha alla adhigama erukku kano,அஜித் அண்ணா ரசிகர்களை விட விஜய் அண்ணா ரசிகர்கள் அதிகமாக உள்ளனர்.,அஜித் அண்ணாபாலஸ் ஓடா விஜய் அண்ணாபாலஸ் டி.எச்.ஏ. அல்ல அதிகளவு உள்ளது கனோ.,அஜித் அண்ணா ரசிகர்களை விட விஜய் அண்ணா ரசிகர்கள் தான் அதிகமாக இருக்கிறார்கள் காணோ
Marana mass uh... Love you thalaivaa,மிகுந்த அதிரடியானது... உன்னை நேசிக்கிறேன் தலைவா.,இறப்பு நிறை உஹ். காதல் நீங்கள் தலைவாயாகும்.,மரண மாஸ்... உன்னை காதலிக்கிறேன் தலைவா!
Kerala pillarude mass kanikan #Kerala Surya Fanz Like Here,கேரளா மக்களின் பெருமையை காட்டும் வகையில். #கேரளா சூர்யா ரசிகர்கள் இங்கே விருப்பம் தெரிவிக்கவும்.,பண்டைய கேரளாவில் நிறை கனியின் Surya பால்கள் போன்றவை இங்கு உள்ளன.,கேரளாவின் மக்களின் மாஸ் காண்க கேரளா சூர்யா ரசிகர்கள் இதைப் பிடிக்கலாம்
Sarkar Teaser likes ah beat pana mudilayeda... Ama payale  Iththu ponavane,"சர்கார் டீசரின் விருப்பங்களை மிஞ்ச முடியவில்லை... ஆம் நண்பா, இதுவே முன்னேற்றம்.",சர்க்கார் டீசர் கழகத்தில் பணத்தை அடைவதில்லை. அமா பயத்தால் இத்து போனவர்.,சர்கார் டீசர் விருப்புகளை மிஞ்ச முடியவில்லைடா ஆமா பாயலே இது போனவனே
Dislike pottavangalam sathiyama sollunga trailer nalla illa? Unga nengila Kai vachi sollunga trailer nalla illa?,"பிடிக்கவில்லை என கூறியவர்கள் உண்மையாக சொல்லுங்கள், டிரைலர் நல்லதாக இல்லை என்று நினைக்கிறீர்களா? உங்களுடைய மனதை வைத்து சொல்லுங்கள், டிரைலர் நன்றாக இல்லை என்று?","விருப்பமற்ற போட்டோவர்களும் சாத்தியமாகக் கருதுகின்றனர். ""உங்களுடைய இதயங்களில் கைவச்சிகள் உள்ளன. """,டிஸ்லைக் போட்டவர்கள் சத்தியமாக சொல்லுங்கள் ட்ரைலர் நல்லதா இல்லையா? உங்கள் நெஞ்சில் கை வைத்து சொல்லுங்கள் ட்ரைலர் நல்லதா இல்லையா?
Koovathoor Maama irukumbodhe theriyum indha padam yepdi irukumnu......,கூவத்தூர் மாமா இருந்தாலே தெரியும் இந்த படம் எப்படி இருக்கும் என்று.,கூவத்தூர் மாமா இருக்கும்போதே தெரியும் இப்படம் எப்படி இருக்கும்.,கூவத்தூர் மாமா இருக்கும்போதே தெரியும் இந்த படம் எப்படி இருக்கும் என்று
நாயக்கர் சமுதாயத்தின் சார்பாக இத்திரைக்காவியம் மாபெரும் வெற்றி அடைய வாழ்த்துக்கள்,நாயக்கர் சமூகத்தின் சார்பாக இத்திரைப்படம் மாபெரும் வெற்றி பெற வாழ்த்துக்கள்.,நாயக்கர் சமூகத்தின் சார்பாக இத்திரைப்படம் பெரும் வெற்றியைப் அடைகிறது.,நாயக்கர் சமுதாயத்தின் சார்பாக இந்த திரைப்படம் மிகப்பெரும் வெற்றி அடைய வாழ்த்துகள்
படம் வெற்றி பெற வாழ்த்துக்கள். அனைவரும் தியேட்டர்ல pooi parunga,படம் வெற்றி பெற வாழ்த்துக்கள். அனைவரும் திரையரங்கில் சென்று பாருங்கள்.,படம் வெற்றி பெற வாழ்த்துகள். எல்லோரும் தியேட்டர்களில் பூய்களைக் காண்க.,படம் வெற்றி பெற வாழ்த்துகள். அனைவரும் திரையரங்கில் சென்று பாருங்கள்
Sari papa nee oru parayan pona kadu papa aprom nee neyaa tharamam pasu papa,"சரி பாப்பா, நீ ஒரு பாராயணன் போன்று இருந்தாய், பின்னர் நீயே தரமானவளாக மாறினாய் பாப்பா.",சாரி பாப்பா நீ ஒரு பறையன் போன கடு பாப்பா அப்பறோம் நீ நீயா தருமம் பசு பாப்பா.,"சரி பாப்பா, நீ ஒரு பாரயன், போன காடு பாப்பா, பிறகு நீ நீதானா தரமான பசு பாப்பா"
mind blowing trailer. Vera vera level daa...,மிகவும் அசரீரமான டிரைலர். வேறு ஒரு தரம்...,மனம் வீசுதல் திறனுடையவர். வேரா வேரா நிலை டா.,மிகைப்படியுமான முன்னோட்டம். வேற வேற நிலை டா...
