input_text,output
ajith anna fans oda vijay Anna fans dha alla adhigama erukku kano,அஜித் அண்ணாபாலஸ் ஓடா விஜய் அண்ணாபாலஸ் டி.எச்.ஏ. அல்ல அதிகளவு உள்ளது கனோ.
Marana mass uh... Love you thalaivaa,இறப்பு நிறை உஹ். காதல் நீங்கள் தலைவாயாகும்.
Kerala pillarude mass kanikan #Kerala Surya Fanz Like Here,பண்டைய கேரளாவில் நிறை கனியின் Surya பால்கள் போன்றவை இங்கு உள்ளன.
Sarkar Teaser likes ah beat pana mudilayeda... Ama payale  Iththu ponavane,சர்க்கார் டீசர் கழகத்தில் பணத்தை அடைவதில்லை. அமா பயத்தால் இத்து போனவர்.
Dislike pottavangalam sathiyama sollunga trailer nalla illa? Unga nengila Kai vachi sollunga trailer nalla illa?,"விருப்பமற்ற போட்டோவர்களும் சாத்தியமாகக் கருதுகின்றனர். ""உங்களுடைய இதயங்களில் கைவச்சிகள் உள்ளன. """
Koovathoor Maama irukumbodhe theriyum indha padam yepdi irukumnu......,கூவத்தூர் மாமா இருக்கும்போதே தெரியும் இப்படம் எப்படி இருக்கும்.
நாயக்கர் சமுதாயத்தின் சார்பாக இத்திரைக்காவியம் மாபெரும் வெற்றி அடைய வாழ்த்துக்கள்,நாயக்கர் சமூகத்தின் சார்பாக இத்திரைப்படம் பெரும் வெற்றியைப் அடைகிறது.
படம் வெற்றி பெற வாழ்த்துக்கள். அனைவரும் தியேட்டர்ல pooi parunga,படம் வெற்றி பெற வாழ்த்துகள். எல்லோரும் தியேட்டர்களில் பூய்களைக் காண்க.
Sari papa nee oru parayan pona kadu papa aprom nee neyaa tharamam pasu papa,சாரி பாப்பா நீ ஒரு பறையன் போன கடு பாப்பா அப்பறோம் நீ நீயா தருமம் பசு பாப்பா.
mind blowing trailer. Vera vera level daa...,மனம் வீசுதல் திறனுடையவர். வேரா வேரா நிலை டா.
kathi pesuratha thavira ivanuku ethume theriyathu mokkai same old,கத்தி பேசுவது தவிர இவனுக்கு ஒன்றும் தெரியாது. மொக்கை அதே பழைய.
Dei #Pink padam paathurukeengala ilaya da fight lam vechirukeenga ,டேய் ஷபீம் படத்தில் நடித்தார். இளைய டா சண்டைகளில் நடித்தார்.
Thalaivar mass ah paththi theriyadhavanga yaarumey illa,தலைவர் பதவியைத் துறந்தவர்கள் யாரும் இல்லை.
Rajani the great ... Hit like if you like thaliavar and get rajinified,"ராஜனி தி பெரிய. வெற்றியைப்போல் நீங்கள் போன்ற தலைவராயிருப்பீர்கள், மற்றும் ரஜினியை பெறுவீர்கள்."
kk na kena koo koo** kedigala koondoda pudikravaru nu sola vanthan...,நானே கூ கேடுகளை கூண்டோடு புதைப்பவர் நு சோலா வந்தான்.
Anil fans online la irundha like podunga paa,அனில் பெண்களின் எண்ணிக்கைகள் அதிகமாக இருந்தன.
I like no dahunsh bolt majju,"""நான்"" போல இல்லை. தனுஷ் போட் மஜிஜு."
varlam varlam vaaaa varlam vaa bairavaaaaa,வரலாம் வரலாம் வாரலாம் வா பைரவ ஆவார்.
நாடக காதல் ஓகே ஆனா இதை பொள்ளாச்சி kadhal பத்தி பேசுங்க சேர்,"நாடகம் காதல் என்று பொருள், ஆனால் இது பொள்ளாச்சி, காதல் பத்தி பேசுங்க சேர்."
Waiting to see u Kajal on screen,দেখতে காத்திருக்கும் யு காஜல் ஆன் திரை.
leval surya pakka masss ,லெவல் சூர்யா பக்கமும் இணைகிறது.
Super star ku semma nose cut..,மாபெரும் நட்சத்திரம் செம்ம மூக்கு வெட்டு.
நாடார் சார்பாக படம் வெற்றி பெற என் ஆதரவு உண்டு,நாடார் சார்பு படம் வெற்றி பெற எனது ஆதரவு.
Intha nattula ovanum ovaru paithiyam avanuku intha naatu mele paithiyam,இம்நாட்டில் யோவான் ஒவ்வொருவருக்கும் பைத்தியம் அவனுக்கு இம்நாட்டம் மிகவும் பைத்தியம்.
Marumalarchikku piraku veali vantha vanniya thiraippadam  By dineshkanna07dk@gmail.com,மறுமலர்ச்சிக்குப் பின்னர் வெள்ளித்திரைப்படத்தின் மூலம் தினேஷ்கன்ன07டக்@ஜிமெயில் நடித்தார். குழந்தைப்பருவ தோழி.
Wakeup anadhum teaser pathavangale like podunga,வாக்கெடுப்பதும் ஆசிரியர் பதவைகள் போன்றவை போடப்படுகின்றன.
After watching Sirikki song...@ny one here?,பின் காண்பது சிறுக்கி பாடல். ஒன்று இங்கு.
இந்த திரைப்படம் வெற்றி பெற கம்மவார் நாயுடு மக்கள் சார்பாக வாழ்த்துக்கள். இந்த திரைப்படம் பத்தி பத்தி சமூக வலைத்தளங்களில் ட்ரெண்டிங் செய்யுங்கள்.,இத்திரைப்படம் வெற்றி பெற்றமைக்கு கம்மவர் நாயுடு மக்கள் சார்பாக வாழ்த்துக்கள். இப்படத்தை சமூக வலைத் தளங்களில் ட்ரென்டுங்கள்.
Oru thar Mela viswasam kaddurathukka ka enni oru thaingaala eathukku Asikingaa padduthiringaa ...#Nkp,ஒரு தார்மேளா விசுவாச கட்டமைப்பைக் கொண்டது; ஒரு தேங்கில் எனக்கு அசைகிங்காபட்டுத்திரிந்தது. குழந்தைப்பருவ தோழி.
தமிழில் இது போல் பல படங்கள் வந்துள்ளன ஏன் அப்போது எதிர்ப்பு தெரிவிக்கவில்லை இந்த படத்திற்கு மட்டும் ஏன் இவ்வளவு எதிர்ப்பு சொல்லுங்கள்,தமிழில் இத்தகைய பல திரைப்படங்கள் வந்துள்ளன. இதற்கு முன்பு ஏன் எதிர்ப்பு தெரிவிக்கப்படவில்லை? இப்படத்திற்கு மட்டுமே ஏன் எதிர்ப்பு கூறப்படுகிறது?
I think Joseph kuruvila is from kerala (kottayam),யசப் குருவிழா என்று கருதப்படுவது கேரளாவிலிருந்து வந்தது.
Un like pantravanlam kantippa paraiyanunga thaan,ஐ.நா. போன்ற அமைப்புக்கள் கண்டிப்பாக செயல்படுகின்றன.
நான் அரசியலுக்கு வருவது உறுதி....இது 1996  ( இன்னுமாடா ரஜினியை நம்புகிறீர்கள் ),Error: 'output'
Saathiya vachi easy ah govt job ku poiduranga just pass anavanga  Thiramai irunthum Nalla mark vangium nammala job ku poga mudiala  Thiramai yai Inga caste tha niranaikirathu avanoda padippu ila,சாத்தியமான வச்சி எளிதானது; வேலையைச் செய்தால் வெளியேற்றப்படுவார்கள்; சிறந்த இலக்கு பெற்றவர்கள்; மற்றும் எங்களது வேலைசெய்து செல்வதற்கான திறனை இங்கேக் கட்டுப்படுத்துகின்றார்.
Padam diwali kku vantha sottaian odiduvaan,படத்தில் தீவாளிக்கு வந்த சோட்டை ஓடும்.
Jii padam epo ji release agum,படம் எப்போதாவது வெளியிடப்படுகிறது.
Thala vera level BGM vera level,தல வேர நிலை பிகும் வேர நிலை.
ADHU 90 KIDS KU PERUMA DA PODRA PODRA ,அது 90 கி.டி. பெருமை கொண்டது.
All the best to the team....super ah na Oru kadhai Karu...ippa irukura ponnugaluku Oru lesson ah irukum,அனைத்தும் தி சிறந்து தி அணி. சூப்பர் ஆ நா ஒரு கதை கருவி. இவற்றில் பொண்ணுக்கு ஒரு பாடலாக இருக்கும்.
Thala koda compare panna yarukum thakuthi kidaiyathu mind it,தல கோடா ஒப்பிடுப்பதில் எவருக்கும் தகுதி இல்லை மனம் அது.
Haterz Will See Our Rage On Aug24,ஹாட்டர்ஸ் விருப்பத்தை காண்பது எங்கள் ஆத்திரமும் ஆகும்.
நான் தேவர் சமூகத்தை சேர்ந்தவன் நாடக காதலை ஒழித்து கட்ட இந்த படம் வெள்ளி விழா கான வாழ்த்துகிறேன் நண்பா,"நான் தேவர் சமூகத்தைச் சார்ந்தவர், நாடகக் காதலை ஒழிக்க இப்படத்தை வெள்ளி விழாக் காண்பிக்கிறேன். நண்பா."
.5 % கூட அசுரன் படத்தின் வசூலை மிஞ்ச முடியாது,கூடுதலாக அசுரன் படத்தின் வசூலை மிஞ்ச முடியாது.
Sangar.... Sangar ra etha movie direct pannala,சங்கர். சங்கர் ஆர்.ஏ.வின் எத்தகைய திரைப்படம் நேரடியாக எடுக்கப்படுகிறது.
வேலூர் வன்னியச்சி சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,வேலூர்வன்னியச்சி சார்பு படம் வெற்றி பெற வாழ்த்துகள்.
Ayan Surya is back 4 getups,அயன் சூர்யா என்பது பின் 4 அழைக்கப்பெறுகிறார்.
Ajith surya rasigar pooram oompa vantanuka,"அஜித், சூர்யா ரசிகர்களை ஊக்குவித்தார்."
Padam vera level dhanush vettri brilliant must watch,படம் வெற்றி பெற்றால் புத்திசாலியாக வேண்டும்.
Next sooraraipottru teaser marana waiting Suriya Anna    ,பின்னர் சூரரைப்போல் ஆசிரியரின் இறப்பு காத்திருக்கிறது.
Look like remake of pink movie,பார் என்னும் திரைப்படத்தின் ரீ-மேக் இளஞ்சிவப்பு.
