Input Sentence,Literary Tamil Translation
ajith anna fans oda vijay Anna fans dha alla adhigama erukku kano,அஜித் அண்ணா ரசிகர்களை விட விஜய் அண்ணா ரசிகர்கள் தான் அதிகமாக இருக்கிறார்கள் காணோ
Marana mass uh... Love you thalaivaa,மரண மாஸ்... உன்னை காதலிக்கிறேன் தலைவா!
Kerala pillarude mass kanikan #Kerala Surya Fanz Like Here,கேரளாவின் மக்களின் மாஸ் காண்க கேரளா சூர்யா ரசிகர்கள் இதைப் பிடிக்கலாம்
Sarkar Teaser likes ah beat pana mudilayeda... Ama payale Iththu ponavane,சர்கார் டீசர் விருப்புகளை மிஞ்ச முடியவில்லைடா ஆமா பாயலே இது போனவனே
Dislike pottavangalam sathiyama sollunga trailer nalla illa? Unga nengila Kai vachi sollunga trailer nalla illa?,டிஸ்லைக் போட்டவர்கள் சத்தியமாக சொல்லுங்கள் ட்ரைலர் நல்லதா இல்லையா? உங்கள் நெஞ்சில் கை வைத்து சொல்லுங்கள் ட்ரைலர் நல்லதா இல்லையா?
Koovathoor Maama irukumbodhe theriyum indha padam yepdi irukumnu......,கூவத்தூர் மாமா இருக்கும்போதே தெரியும் இந்த படம் எப்படி இருக்கும் என்று
நாயக்கர் சமுதாயத்தின் சார்பாக இத்திரைக்காவியம் மாபெரும் வெற்றி அடைய வாழ்த்துக்கள்,நாயக்கர் சமுதாயத்தின் சார்பாக இந்த திரைப்படம் மிகப்பெரும் வெற்றி அடைய வாழ்த்துகள்
படம் வெற்றி பெற வாழ்த்துக்கள். அனைவரும் தியேட்டர்ல pooi parunga,படம் வெற்றி பெற வாழ்த்துகள். அனைவரும் திரையரங்கில் சென்று பாருங்கள்
Sari papa nee oru parayan pona kadu papa aprom nee neyaa tharamam pasu papa,"சரி பாப்பா, நீ ஒரு பாரயன், போன காடு பாப்பா, பிறகு நீ நீதானா தரமான பசு பாப்பா"
mind blowing trailer. Vera vera level daa...,மிகைப்படியுமான முன்னோட்டம். வேற வேற நிலை டா...
kathi pesuratha thavira ivanuku ethume theriyathu mokkai same old,"கத்தி பேசுவதென்றால் தவிர, இவருக்கு எதுவும் தெரிந்திருப்பதில்லை, இது மொக்கை, பழையதாகவே உள்ளது."
Dei #Pink padam paathurukeengala ilaya da fight lam vechirukeenga,"பிங்க் படம் பார்த்தீர்களா? இல்லையா? சண்டைகளையும் சேர்த்திருக்கின்றீர்கள்!"
Thalaivar mass ah paththi theriyadhavanga yaarumey illa,தலைவரின் மாஸைப் பற்றித் தெரியாதவர்கள் யாருமில்லை
Rajani the great ... Hit like if you like thaliavar and get rajinified,"ரஜினி தி கிரேட்... நீங்கள் தலைவரை விரும்பினால் லைக் செய்யவும், ரஜினிபிட் ஆகவும்"
kk na kena koo koo** kedigala koondoda pudikravaru nu sola vanthan...,"கே கே, நான் கெனா கூ கூ**, கெடிகள் கூட்டுடன் பிடிக்கவரு என்று சொல்ல வந்தான்..."
Anil fans online la irundha like podunga paa,அனில் ரசிகர்கள் ஆன்லைனில் இருந்தால் லைக் போடுங்கள் பா
I like no dahunsh bolt majju,நான் விரும்புகிறேன் இல்லை டஹுன்ஷ் போல்ட் மஜ்ஜு
varlam varlam vaaaa varlam vaa bairavaaaaa,வாரலாம் வாரலாம் வா... வாரலாம் வா பைரவா
