inputWord,inputType,output,actualOutput
FikAk;,Legacy Font Encoding,குமையும்,குமையும்
kdk;....,Legacy Font Encoding,மனம்....,மனம்....
FKWk;‰,Legacy Font Encoding,குமுறும்‰,குமுறும்‰
Mir,en,Mir,ஆசை
epuhirahf,Legacy Font Encoding,நிராசையாக,நிராசையாக
>ik,Legacy Font Encoding,இமை,இமை
mizia,Romanized Text Encoding,மிஜியா,அணையை
cilj;Jg;,Legacy Font Encoding,உடைத்துப்,உடைத்துப்
ngUf;nfLf;Fk;,Legacy Font Encoding,பெருக்கெடுக்கும்,பெருக்கெடுக்கும்
fz;,Legacy Font Encoding,கண்,கண்
ejp....,Legacy Font Encoding,நதி....,நதி....
vk;,Legacy Font Encoding,எம்,எம்
>ayhikiar;,Legacy Font Encoding,இயலாமையைச்,இயலாமையைச்
nrhy;Yk;‰,Legacy Font Encoding,சொல்லும்‰,சொல்லும்‰
"vjph;g;gjw;Nfh,",Legacy Font Encoding,எதிர்ப்பதற்கோஇ,எதிர்ப்பதற்கோஇ
"jg;Gjw;Nfh,",Legacy Font Encoding,தப்புதற்கோஇ,தப்புதற்கோஇ
jiafhl;lh,Legacy Font Encoding,தயைகாட்டா,தயைகாட்டா
tpyq;F?,Legacy Font Encoding,விலங்கு?,விலங்கு?
jhsbapy;,Legacy Font Encoding,தாளடியில்,தாளடியில்
GijFopfs;‰,Legacy Font Encoding,புதைகுழிகள்‰,புதைகுழிகள்‰
gaj;ij,Legacy Font Encoding,பயத்தை,பயத்தை
tpijj;Jg;,Legacy Font Encoding,விதைத்துப்,விதைத்துப்
FikAk;,Legacy Font Encoding,குமையும்,குமையும்
kdk;....,Legacy Font Encoding,மனம்....,மனம்....
FKWk;‰,Legacy Font Encoding,குமுறும்‰,குமுறும்‰
Mir,en,Mir,ஆசை
epuhirahf,Legacy Font Encoding,நிராசையாக,நிராசையாக
>ik,Legacy Font Encoding,இமை,இமை
mizia,Romanized Text Encoding,மிஜியா,அணையை
cilj;Jg;,Legacy Font Encoding,உடைத்துப்,உடைத்துப்
ngUf;nfLf;Fk;,Legacy Font Encoding,பெருக்கெடுக்கும்,பெருக்கெடுக்கும்
fz;,Legacy Font Encoding,கண்,கண்
ejp....,Legacy Font Encoding,நதி....,நதி....
vk;,Legacy Font Encoding,எம்,எம்
>ayhikiar;,Legacy Font Encoding,இயலாமையைச்,இயலாமையைச்
nrhy;Yk;‰,Legacy Font Encoding,சொல்லும்‰,சொல்லும்‰
"vjph;g;gjw;Nfh,",Legacy Font Encoding,எதிர்ப்பதற்கோஇ,எதிர்ப்பதற்கோஇ
"jg;Gjw;Nfh,",Legacy Font Encoding,தப்புதற்கோஇ,தப்புதற்கோஇ
jiafhl;lh,Legacy Font Encoding,தயைகாட்டா,தயைகாட்டா
tpyq;F?,Legacy Font Encoding,விலங்கு?,விலங்கு?
jhsbapy;,Legacy Font Encoding,தாளடியில்,தாளடியில்
GijFopfs;‰,Legacy Font Encoding,புதைகுழிகள்‰,புதைகுழிகள்‰
gaj;ij,Legacy Font Encoding,பயத்தை,பயத்தை
tpijj;Jg;,Legacy Font Encoding,விதைத்துப்,விதைத்துப்
