"inputWord","inputType","output","actualOutput"
"nkhl;L,","Legacy Font Encoding","மொட்டுஇ","மொட்டுஇ"
"Kif,","Legacy Font Encoding","முகைஇ","முகைஇ"
"NghJ,","Legacy Font Encoding","போதுஇ","போதுஇ"
"kyh;,","Legacy Font Encoding","மலர்இ","மலர்இ"
"myh;,","Legacy Font Encoding","அலர்இ","அலர்இ"
"tP","Legacy Font Encoding","வீ","வீ"
"Mfpa","Legacy Font Encoding","ஆகிய","ஆகிய"
"nrhw;fs;","Legacy Font Encoding","சொற்கள்","சொற்கள்"
"midj;jpw;Fk;","Legacy Font Encoding","அனைத்திற்கும்","அனைத்திற்கும்"
"mfuhjp","Legacy Font Encoding","அகராதி","அகராதி"
"'g+'","Legacy Font Encoding","'ப+'","'ப+'"
"vd;W","Legacy Font Encoding","என்று","என்று"
"mh;j;jk;","Legacy Font Encoding","அர்த்தம்","அர்த்தம்"
"juyhk;.","Legacy Font Encoding","தரலாம்.","தரலாம்."
"xU","Legacy Font Encoding","ஒரு","ஒரு"
"ehs;","Legacy Font Encoding","நாள்","நாள்"
"MAs;","Legacy Font Encoding","ஆயுள்","ஆயுள்"
"cs;s","Legacy Font Encoding","உள்ள","உள்ள"
"xU","Legacy Font Encoding","ஒரு","ஒரு"
"kyhpd;","Legacy Font Encoding","மலரின்","மலரின்"
"gy;NtW","Legacy Font Encoding","பல்வேறு","பல்வேறு"
"gUtq;fis","Legacy Font Encoding","பருவங்களை","பருவங்களை"
"EZf;fkhfr;","Legacy Font Encoding","நுணுக்கமாகச்","நுணுக்கமாகச்"
"nrhy;tjw;F","Legacy Font Encoding","சொல்வதற்கு","சொல்வதற்கு"
"me;jr;","Legacy Font Encoding","அந்தச்","அந்தச்"
"nrhw;fs;","Legacy Font Encoding","சொற்கள்","சொற்கள்"
"gad;gLfpd;wd.","Legacy Font Encoding","பயன்படுகின்றன.","பயன்படுகின்றன."
"jkpo;","Legacy Font Encoding","தமிழ்","தமிழ்"
"mt;tsT","Legacy Font Encoding","அவ்வளவு","அவ்வளவு"
"tskhdJ.","Legacy Font Encoding","வளமானது.","வளமானது."
"tP","Legacy Font Encoding","வீ","வீ"
"vd;gJ","Legacy Font Encoding","என்பது","என்பது"
"PPOLLINATED","Legacy Font Encoding","PPழுடுடுஐNயுவுநுனு","PPழுடுடுஐNயுவுநுனு"
"FLOWER,","Romanized Text Encoding","பிலோவேர்","குடுழுறுநுசுஇ"
"g+","Legacy Font Encoding","ப+","ப+"
"jd;ikia","Legacy Font Encoding","தன்மையை","தன்மையை"
">oe;J","Legacy Font Encoding","இழந்து","இழந்து"
"#Yw;W","Legacy Font Encoding","சூலுற்று","சூலுற்று"
"fha;j;","Legacy Font Encoding","காய்த்","காய்த்"
"jd;ikiag;","Legacy Font Encoding","தன்மையைப்","தன்மையைப்"
"g+lfkhf","Legacy Font Encoding","ப+டகமாக","ப+டகமாக"
"cs;thq;fpa","Legacy Font Encoding","உள்வாங்கிய","உள்வாங்கிய"
