input,output,prompt_id
ajith anna fans oda vijay Anna fans dha alla adhigama erukku kano,அஜித் அண்ணா ரசிகர்களை விட விஜய் அண்ணா ரசிகர்கள் அதிகமாக உள்ளனர்.,0
Marana mass uh... Love you thalaivaa,மிகுந்த அதிரடியானது... உன்னை நேசிக்கிறேன் தலைவா.,1
Kerala pillarude mass kanikan #Kerala Surya Fanz Like Here,கேரளா மக்களின் பெருமையை காட்டும் வகையில். #கேரளா சூர்யா ரசிகர்கள் இங்கே விருப்பம் தெரிவிக்கவும்.,2
Sarkar Teaser likes ah beat pana mudilayeda... Ama payale  Iththu ponavane,"சர்கார் டீசரின் விருப்பங்களை மிஞ்ச முடியவில்லை... ஆம் நண்பா, இதுவே முன்னேற்றம்.",3
Dislike pottavangalam sathiyama sollunga trailer nalla illa? Unga nengila Kai vachi sollunga trailer nalla illa?,"பிடிக்கவில்லை என கூறியவர்கள் உண்மையாக சொல்லுங்கள், டிரைலர் நல்லதாக இல்லை என்று நினைக்கிறீர்களா? உங்களுடைய மனதை வைத்து சொல்லுங்கள், டிரைலர் நன்றாக இல்லை என்று?",4
Koovathoor Maama irukumbodhe theriyum indha padam yepdi irukumnu......,கூவத்தூர் மாமா இருந்தாலே தெரியும் இந்த படம் எப்படி இருக்கும் என்று.,5
நாயக்கர் சமுதாயத்தின் சார்பாக இத்திரைக்காவியம் மாபெரும் வெற்றி அடைய வாழ்த்துக்கள்,நாயக்கர் சமூகத்தின் சார்பாக இத்திரைப்படம் மாபெரும் வெற்றி பெற வாழ்த்துக்கள்.,6
படம் வெற்றி பெற வாழ்த்துக்கள். அனைவரும் தியேட்டர்ல pooi parunga,படம் வெற்றி பெற வாழ்த்துக்கள். அனைவரும் திரையரங்கில் சென்று பாருங்கள்.,7
Sari papa nee oru parayan pona kadu papa aprom nee neyaa tharamam pasu papa,"சரி பாப்பா, நீ ஒரு பாராயணன் போன்று இருந்தாய், பின்னர் நீயே தரமானவளாக மாறினாய் பாப்பா.",8
mind blowing trailer. Vera vera level daa...,மிகவும் அசரீரமான டிரைலர். வேறு ஒரு தரம்...,9
kathi pesuratha thavira ivanuku ethume theriyathu mokkai same old,"வாய் பேசுவதைத்தவிர இவருக்கு எதுவும் தெரியாது, சலிப்பூட்டும் பழைய போக்கு.",10
Dei #Pink padam paathurukeengala ilaya da fight lam vechirukeenga,நீங்கள் #பிங்க் படத்தை பார்த்தீர்களா? இல்லையா? சண்டைகளையே மட்டும் வைத்திருக்கிறீர்கள்.,11
Thalaivar mass ah paththi theriyadhavanga yaarumey illa,தலைவரின் பெருமையைப் பற்றி அறியாதவர்கள் யாரும் இல்லை.,12
Rajani the great ... Hit like if you like thaliavar and get rajinified,ரஜினி மிக சிறந்தவர்... தலைவரை விரும்பினால் விருப்பம் தெரிவித்து ரஜினியின் உணர்வில் மூழ்குங்கள்.,13
kk na kena koo koo** kedigala koondoda pudikravaru nu sola vanthan...,அவர் குழுவுடன் சேர்ந்து சிக்கல்களை உருவாக்குபவர் என்று கூற வந்துள்ளார்.,14
Anil fans online la irundha like podunga paa,அனில் ரசிகர்கள் ஆன்லைனில் இருந்தால் விருப்பம் தெரிவியுங்கள்.,15
I like no dahunsh bolt majju,எனக்கு தானுஷ் போல்ட் மிகவும் பிடிக்கும்.,16
