inputWord,inputType,output,actualOutput
">iyAjph;","Legacy Font Encoding","இலையுதிர்","இலையுதிர்"
"fhyk;","Legacy Font Encoding","காலம்","காலம்"
"Kw;Wg;","Legacy Font Encoding","முற்றுப்","முற்றுப்"
"ngw;W","Legacy Font Encoding","பெற்று","பெற்று"
"tre;j","Legacy Font Encoding","வசந்த","வசந்த"
"fhyj;jpd;","Legacy Font Encoding","காலத்தின்","காலத்தின்"
"tUifia","Legacy Font Encoding","வருகையை","வருகையை"
"tuNtw;Fk;","Legacy Font Encoding","வரவேற்கும்","வரவேற்கும்"
"me;j","Legacy Font Encoding","அந்த","அந்த"
"Ntg;gkuf;","Legacy Font Encoding","வேப்பமரக்","வேப்பமரக்"
"Fap","Legacy Font Encoding","குயி","குயி"
"ypd;","Legacy Font Encoding","லின்","லின்"
"$ty;","Legacy Font Encoding","$வல்","$வல்"
"vd;","Legacy Font Encoding","என்","என்"
"nrtpia","Legacy Font Encoding","செவியை","செவியை"
"mila","en","mila","அடைய"
"Tk;,","Legacy Font Encoding","வும்இ","வும்இ"
"ehd;","Legacy Font Encoding","நான்","நான்"
"fz;","Legacy Font Encoding","கண்","கண்"
"tpopf;fTk;","Legacy Font Encoding","விழிக்கவும்","விழிக்கவும்"
"rhpahf","Legacy Font Encoding","சரியாக","சரியாக"
">Ue;jJ.","Legacy Font Encoding","இருந்தது.","இருந்தது."
"thndhypapNy","Legacy Font Encoding","வானொலியிலே","வானொலியிலே"
"jto;e;J","Legacy Font Encoding","தவழ்ந்து","தவழ்ந்து"
"te;j","Legacy Font Encoding","வந்த","வந்த"
"Rg;ughjk;","Legacy Font Encoding","சுப்ரபாதம்","சுப்ரபாதம்"
">d;W","Legacy Font Encoding","இன்று","இன்று"
"nts;spf;","Legacy Font Encoding","வெள்ளிக்","வெள்ளிக்"
"fpoik","Legacy Font Encoding","கிழமை","கிழமை"
"vd;W","Legacy Font Encoding","என்று","என்று"
"epidT+l;l,","Legacy Font Encoding","நினைவு+ட்டஇ","நினைவு+ட்டஇ"
"tpiue;","Legacy Font Encoding","விரைந்","விரைந்"
"njOe;J","Legacy Font Encoding","தெழுந்து","தெழுந்து"
"Fspj;Jf;","Legacy Font Encoding","குளித்துக்","குளித்துக்"
"Nfhapypw;Fr;","Legacy Font Encoding","கோயிலிற்குச்","கோயிலிற்குச்"
"nry;y","Legacy Font Encoding","செல்ல","செல்ல"
"Maj;jkhfpd;Nwd;.","Legacy Font Encoding","ஆயத்தமாகின்றேன்.","ஆயத்தமாகின்றேன்."
"kz;","Legacy Font Encoding","மண்","மண்"
"Rthpy;","Legacy Font Encoding","சுவரில்","சுவரில்"
"njhq;fpapUe;j","Legacy Font Encoding","தொங்கியிருந்த","தொங்கியிருந்த"
"vd;","Legacy Font Encoding","என்","என்"
"%j;j","Legacy Font Encoding","மூத்த","மூத்த"
"kfdpd;","Legacy Font Encoding","மகனின்","மகனின்"
"koiykhwhj","Legacy Font Encoding","மழலைமாறாத","மழலைமாறாத"
"me;jr;rphpg;G","Legacy Font Encoding","அந்தச்சிரிப்பு","அந்தச்சிரிப்பு"
"mtd;","Legacy Font Encoding","அவன்","அவன்"
">we;J","Legacy Font Encoding","இறந்து","இறந்து"
"Ie;J","Legacy Font Encoding","ஐந்து","ஐந்து"
"tUlq;fs;","Legacy Font Encoding","வருடங்கள்","வருடங்கள்"
"cUz;Nlhbaijf;","Legacy Font Encoding","உருண்டோடியதைக்","உருண்டோடியதைக்"
"Nfhbl;Lf;fhl;l","Legacy Font Encoding","கோடிட்டுக்காட்ட","கோடிட்டுக்காட்ட"
